Director,Education,Year Active,Birth Day,Birth Place,Roles,Died,Link
Jean Dréville,,1928-1969,1906-09-20,"Vitry-sur-Seine, France",Film director,1,https://en.wikipedia.org/wiki/Jean_Dr%C3%A9ville
Ben Drew,,2005–present,1983-10-22,,Rapper singer songwriter actor film director producer,0,https://en.wikipedia.org/wiki/Plan_B_(musician)
Carl Theodor Dreyer,,1919–68,1889-02-03,"Copenhagen, Denmark",Film director,1,https://en.wikipedia.org/wiki/Carl_Theodor_Dreyer
Marcel Duchamp,,,1887-07-28,"Blainville-Crevon, France",,1,https://en.wikipedia.org/wiki/Marcel_Duchamp
Troy Duffy,,1996–present,1971-06-08,"Hartford, Connecticut, United States","Film director, screenwriter, film producer, musician",0,https://en.wikipedia.org/wiki/Troy_Duffy
Dennis Dugan,EducationArt Institute of Chicago (BFA),1968–present,1946-09-05,"Wheaton, Illinois, U.S.","film director, actor, comedian",0,https://en.wikipedia.org/wiki/Dennis_Dugan
Joshua Dugdale,,,1974-09-20,"Birmingham, UK",Film director,0,https://en.wikipedia.org/wiki/Joshua_Dugdale
Bill Duke,EducationBoston UniversityNew York University Tisch School of the Arts,1961–present,1943-02-26,"Poughkeepsie, New York, U.S.","Actor, director, producer, screenwriter",0,https://en.wikipedia.org/wiki/Bill_Duke
Bruno Dumont,,,1958-03-14,"Bailleul, Nord, France","Film director, screenwriter",0,https://en.wikipedia.org/wiki/Bruno_Dumont
George Dunning,,,1920-11-17,"Toronto, Ontario","Animator, Producer, Director, Illustrator",1,https://en.wikipedia.org/wiki/George_Dunning
Ewald André Dupont,,1916–1956,"Born25 December 1891Zeitz, Province of Saxony German Empire","Zeitz, Province of Saxony German Empire",Film director Screenwriter,1,https://en.wikipedia.org/wiki/Ewald_Andr%C3%A9_Dupont
Momina Duraid,,,BornMomina Duraid,,producer director,0,https://en.wikipedia.org/wiki/Momina_Duraid
Marguerite Duras,,,1914-04-04,,Novelist playwright filmmaker,1,https://en.wikipedia.org/wiki/Marguerite_Duras
Richard Dutcher,,,"BornRichard Hill1964Oak Park, Illinois","Oak Park, Illinois",Filmmaker Actor,0,https://en.wikipedia.org/wiki/Richard_Dutcher
Guru Dutt,,1944–1964,1925-07-09,"Padukone, South Canara, Madras Presidency, British India (present-day Udupi District, Karnataka, India)","Actor, Film Producer, Film Director, Choreographer",1,https://en.wikipedia.org/wiki/Guru_Dutt
Ava DuVernay,,,1972-08-24,"Long Beach, California, U.S.",Filmmaker,0,https://en.wikipedia.org/wiki/Ava_DuVernay
Julien Duvivier,,1919–1967,1896-10-08,"Lille, France",Film director screenwriter,1,https://en.wikipedia.org/wiki/Julien_Duvivier
Allan Dwan,,1911–1961,1885-04-03,"Toronto, Ontario, Canada",Film directorFilm producerScreenwriter,1,https://en.wikipedia.org/wiki/Allan_Dwan
B. Reeves Eason,,1914–1950,1886-10-02,"New York City, New York, U.S.","Director, actor, screenwriter, second-unit director, assistant director",1,https://en.wikipedia.org/wiki/B._Reeves_Eason
Clint Eastwood,,,1930-05-31,"San Francisco, California, U.S.",Actordirectorproducercomposerbusinessmanpolitician,0,https://en.wikipedia.org/wiki/Clint_Eastwood
Uli Edel,,,1947-04-11,"Neuenburg am Rhein, South Baden, Germany",,0,https://en.wikipedia.org/wiki/Uli_Edel
Blake Edwards,,1942–1995,1922-07-26,"Tulsa, Oklahoma, U.S.",Filmmaker,1,https://en.wikipedia.org/wiki/Blake_Edwards
Gareth Edwards,,2002–present,1975-07-13,"Nuneaton, Warwickshire, England","Director, screenwriter, cinematographer, production designer, visual effects artist",0,https://en.wikipedia.org/wiki/Gareth_Edwards_(director)
Harry Edwards,,1910 - 1952,1887-10-11,"Calgary, Alberta, Canada",,1,https://en.wikipedia.org/wiki/Harry_Edwards_(director)
Shawn Efran,"EducationUniversity of Oregon, B.A. Journalism",1993–Present,,,"Filmmaker, journalist, television producer",0,https://en.wikipedia.org/wiki/Shawn_Efran
Atom Egoyan,,1984–present,1960-07-19,"Cairo, United Arab Republic (present-day Cairo, Egypt)","Film director, stage director,screenwriter, producer",0,https://en.wikipedia.org/wiki/Atom_Egoyan
Sergei Eisenstein,,1923–1946,"BornSergei Mikhailovich Eizenshtein22 January 1898 (O.S. 10 January 1898)Riga, Governorate of Livonia, Russian Empire","Riga, Governorate of Livonia, Russian Empire",,1,https://en.wikipedia.org/wiki/Sergei_Eisenstein
Richard Elfman,,1968–present,1949-03-06,"Watts, Los Angeles, California","Actor, director, producer, screenwriter, author, publisher, journalist, musician",0,https://en.wikipedia.org/wiki/Richard_Elfman
Stephan Elliott,,1992–present,1964-08-27,"Sydney, New South Wales, Australia","Director, screenwriter",0,https://en.wikipedia.org/wiki/Stephan_Elliott
Robert Ellis,,1913–1950,1892-06-27,"Brooklyn, New York, United States",ActorScreenwriterFilm director,1,"https://en.wikipedia.org/wiki/Robert_Ellis_(actor,_born_1892)"
Maurice Elvey,,1913–1958,1887-11-11,"Stockton-on-Tees, England",Film directorFilm producer,1,https://en.wikipedia.org/wiki/Maurice_Elvey
John Emerson,,,1874-05-29,"Sandusky, Ohio, United States","Actor, playwright, director, producer, writer",1,https://en.wikipedia.org/wiki/John_Emerson_(filmmaker)
Roland Emmerich,,1979–present,1955-11-10,"Stuttgart, Baden-Württemberg, West Germany",Film director producer screenwriter,0,https://en.wikipedia.org/wiki/Roland_Emmerich
Cy Endfield,,1942–1979,"BornCyril Raker EndfieldNovember 10, 1914Scranton, Pennsylvania, U.S.","Scranton, Pennsylvania, U.S.","Screenwriter, director, author, magician, inventor",1,https://en.wikipedia.org/wiki/Cy_Endfield
John English,,,1903-06-25,"Cumberland, United Kingdom","Film director, film editor",1,https://en.wikipedia.org/wiki/John_English_(director)
Robert Enrico,,,1931-04-13,"Liévin, Pas-de-Calais, France",film directorscriptwriter,1,https://en.wikipedia.org/wiki/Robert_Enrico
Ray Enright,,1927-1953,1896-03-25,"Anderson, Indiana",Film director,1,https://en.wikipedia.org/wiki/Ray_Enright
Nora Ephron,EducationBeverly Hills High School,1973–2012,1941-05-19,"New York City, New York, U.S.","Screenwriter, producer, director, journalist, playwright, author",1,https://en.wikipedia.org/wiki/Nora_Ephron
Jean Epstein,,1922–1948,1897-03-25,"Warsaw, Tsardom of Poland within Russian Empire","Film director, film theorist, literary critic, novelist",1,https://en.wikipedia.org/wiki/Jean_Epstein
Víctor Erice,,1969–2012,1940-06-30,"Karrantza, Biscay, Spain",Film director writer,0,https://en.wikipedia.org/wiki/V%C3%ADctor_Erice
Chester Erskine,,,1905-11-29,"Hudson, New York, U.S.",Directorproducerwriter,1,https://en.wikipedia.org/wiki/Chester_Erskine
Jean Eustache,,1961–1980,1938-11-30,"Pessac, Gironde, France",Film director,1,https://en.wikipedia.org/wiki/Jean_Eustache
Gareth Evans,,2003–present,"Born1980 (age 39–40)Hirwaun, Cynon Valley, Wales","Hirwaun, Cynon Valley, Wales","Film director, screenwriter, film editor, action choreographer",0,https://en.wikipedia.org/wiki/Gareth_Evans_(director)
Marc Evans,,1987–present,"Born1963 (age 56–57)Cardiff, Wales","Cardiff, Wales","Film and Television director, producer, screenwriter",0,https://en.wikipedia.org/wiki/Marc_Evans
Valie Export,,,1940-05-17,"Linz, Austria",,0,https://en.wikipedia.org/wiki/Valie_Export
Chris Eyre,,,"Born1968 (age 51–52)Portland, Oregon, United States","Portland, Oregon, United States","Film director, film producer",0,https://en.wikipedia.org/wiki/Chris_Eyre
Richard Eyre,,,1943-03-28,"Barnstaple, Devon, England","Director, playwright",0,https://en.wikipedia.org/wiki/Richard_Eyre
Peter Faiman,,1971–present,"BornPeter Leonard Fairman1944 (age 75–76)Melbourne, Victoria, Australia","Melbourne, Victoria, Australia",Television executiveTV producerfilm producer and director,0,https://en.wikipedia.org/wiki/Peter_Faiman
James Fargo,,1969–present,1938-08-14,"Republic, Washington, U.S.","Film director, television director",0,https://en.wikipedia.org/wiki/James_Fargo
Asghar Farhadi,,1997–present,1972-05-07,"Homayoon Shahr, Isfahan Province, Iran",Film directorscreenwriterfilm producer,0,https://en.wikipedia.org/wiki/Asghar_Farhadi
Valerie Faris,,,1957-07-07,,"Film directors, music video directors",0,https://en.wikipedia.org/wiki/Valerie_Faris
Farrelly brothers,,,1956-12-17,,"Film directors, screenwriters, producers",0,https://en.wikipedia.org/wiki/Farrelly_brothers
John Farrow,,1927–1962,1904-02-10,"Sydney, New South Wales, Australia","Actor, director, producer, screenwriter",1,https://en.wikipedia.org/wiki/John_Farrow
Rainer Werner Fassbinder,,1965–1982,1945-05-31,"Bad Wörishofen, Bavaria, Germany","Filmmaker, actor, playwright, theatre director, composer, cinematographer, editor, essayist",1,https://en.wikipedia.org/wiki/Rainer_Werner_Fassbinder
Jon Favreau,EducationBronx High School of Science (1984)Queens College,1992–present,1966-10-19,"Flushing, Queens, New York City, U.S.",Actor director producer screenwriter,0,https://en.wikipedia.org/wiki/Jon_Favreau
Fei Mu,,1933-1951,"BornOctober 10, 1906Shanghai, China","Shanghai, China","Director, screenwriter, film producer",1,https://en.wikipedia.org/wiki/Fei_Mu
Paul Fejos,,1919–1963,1897-01-27,"Budapest, Hungary","Film Director, anthropologist, screenwriter, medical orderly and researcher",1,https://en.wikipedia.org/wiki/Paul_Fejos
Federico Fellini,,1945–1992,1920-01-20,"Rimini, Kingdom of Italy",Filmmaker,1,https://en.wikipedia.org/wiki/Federico_Fellini
Emilio Fernández,,1928–1986,1904-03-26,"Sabinas, Coahuila, Mexico",,1,https://en.wikipedia.org/wiki/Emilio_Fern%C3%A1ndez
Abel Ferrara,,1971–present,1951-07-19,"The Bronx, New York City, U.S.","Director, screenwriter, actor, producer, editor, cinematographer",0,https://en.wikipedia.org/wiki/Abel_Ferrara
Marco Ferreri,,,1928-05-11,"Milan, Lombardy, Italy","Film director, screenwriter, actor",1,https://en.wikipedia.org/wiki/Marco_Ferreri
Giorgio Ferroni,,,1908-04-12,"Perugia, Italy","Film director, film editor, screenwriter",1,https://en.wikipedia.org/wiki/Giorgio_Ferroni
Louis Feuillade,,1905–1925,1873-02-19,"Lunel, French Third Republic","Film director, screenwriter, film producer, journalist, poet",1,https://en.wikipedia.org/wiki/Louis_Feuillade
Jacques Feyder,,,1885-07-21,"Ixelles, Belgium",,1,https://en.wikipedia.org/wiki/Jacques_Feyder
Sally Field,,1962–present,1946-11-06,"Pasadena, California, U.S.",Actress director,0,https://en.wikipedia.org/wiki/Sally_Field
Todd Field,,1985–present,1964-02-24,"Pomona, California, U.S.",ActorFilm directorFilm producerScreenwriter,0,https://en.wikipedia.org/wiki/Todd_Field
Mike Figgis,,1984–present,"BornMichael Figgis1948 (age 71–72)Carlisle, Cumberland, England, United Kingdom","Carlisle, Cumberland, England, United Kingdom","Film director, screenwriter, composer",0,https://en.wikipedia.org/wiki/Mike_Figgis
David Fincher,,1980–present,1962-08-28,"Denver, Colorado, U.S.",Filmmaker,0,https://en.wikipedia.org/wiki/David_Fincher
Will Finn,EducationArt Institute of Pittsburgh,1979–present,1958-11-01,"New York City, New York, U.S.","Animator, film director, storyboard artist, voice actor",0,https://en.wikipedia.org/wiki/Will_Finn
Elvira Fischer,,,1978-03-21,,,0,https://en.wikipedia.org/wiki/Elvira_Fischer
Terence Fisher,,,1904-02-23,"Maida Vale, County of London, England, United Kingdom","Film director, film editor",1,https://en.wikipedia.org/wiki/Terence_Fisher
Dallas M. Fitzgerald,,,"BornAugust 13, 1876La Grange, Kentucky","La Grange, Kentucky","Director, producer, writer",1,https://en.wikipedia.org/wiki/Dallas_M._Fitzgerald
George Fitzmaurice,,1886- 1940,"Born13 February 1885Paris, France","Paris, France",Film director,1,https://en.wikipedia.org/wiki/George_Fitzmaurice
Robert J. Flaherty,,,1884-02-16,"Iron Mountain, Michigan, U.S.",Filmmaker,1,https://en.wikipedia.org/wiki/Robert_J._Flaherty
Gary Fleder,,1992–present,1965-12-19,"Norfolk, Virginia, U.S.","Film director, producer",0,https://en.wikipedia.org/wiki/Gary_Fleder
Richard Fleischer,EducationBrown University (BA)Yale University (MFA),1946–1993,1916-12-08,"New York City, New York, U.S.","Film director, chairman of Fleischer Studios",1,https://en.wikipedia.org/wiki/Richard_Fleischer
Victor Fleming,,1910–1949,1889-02-23,"La Cañada Flintridge, California; US",directorcinematographerproducer,1,https://en.wikipedia.org/wiki/Victor_Fleming
Robert Florey,,,1900-09-14,"Paris, France",Directorscreenwriterjournalist,1,https://en.wikipedia.org/wiki/Robert_Florey
Emmett J. Flynn,,,"BornNovember 9, 1892Denver, Colorado","Denver, Colorado",,1,https://en.wikipedia.org/wiki/Emmett_J._Flynn
James Foley,,1984–present,1953-12-28,"Bay Ridge, Brooklyn, New York, U.S.",Film director,0,https://en.wikipedia.org/wiki/James_Foley_(director)
Jorge Fons,,1965 - present,1939-04-23,"Tuxpan, Veracruz, Mexico",Film directorScreenwriter,0,https://en.wikipedia.org/wiki/Jorge_Fons
Aleksander Ford,,,1908-11-24,"Kiev, Russian Empire",Film director,1,https://en.wikipedia.org/wiki/Aleksander_Ford
John Ford,,1946–62 (reserve,1894-02-01,"Cape Elizabeth, Maine, U.S.",Film director/producer,1,https://en.wikipedia.org/wiki/John_Ford_(film_director)
Philip Ford,,1916–1964,1900-10-16,"Portland, Maine, U.S.",Film directorActor,1,https://en.wikipedia.org/wiki/Philip_Ford_(film_director)
Eugene Forde,,1926-1953,"Born8 November 1898Providence, Rhode Island United States","Providence, Rhode Island United States",,1,https://en.wikipedia.org/wiki/Eugene_Forde
Tom Forman,,1913–1926,1893-02-22,"Mitchell County, Texas, U.S.","Actor, Film director, Film producer, Writer",1,https://en.wikipedia.org/wiki/Tom_Forman_(actor)
Willi Forst,,,1903-04-07,"Vienna, Austria-Hungary",,1,https://en.wikipedia.org/wiki/Willi_Forst
Marc Forster,,1995–present,1969-11-30,"Illertissen, Neu-Ulm, Bavaria, West Germany","Film director, film producer, screenwriter",0,https://en.wikipedia.org/wiki/Marc_Forster
Bill Forsyth,,1980–present,1946-07-29,"Glasgow, Scotland",DirectorScreenwriter,0,https://en.wikipedia.org/wiki/Bill_Forsyth
Bob Fosse,,1947–1987,1927-06-23,"Chicago, Illinois, U.S.",Actorchoreographerdancerdirectorscreenwriter,1,https://en.wikipedia.org/wiki/Bob_Fosse
Jodie Foster,,1965–present,1962-11-19,"Los Angeles, California, U.S.","Actress, director, producer",0,https://en.wikipedia.org/wiki/Jodie_Foster
Lilibet Foster,,,"Born1965Saint Thomas, U.S. Virgin Islands","Saint Thomas, U.S. Virgin Islands",,0,https://en.wikipedia.org/wiki/Lilibet_Foster
Lewis R. Foster,,,1898-08-05,"Brookfield, Missouri, United States","Screenwriter, director, producer, television composer",1,https://en.wikipedia.org/wiki/Lewis_R._Foster
Norman Foster,,1926–1976,1903-12-13,"Richmond, Indiana, U.S.","Actor, director, screenwriter",1,https://en.wikipedia.org/wiki/Norman_Foster_(director)
Wallace Fox,,1913-1922,1895-03-09,"Purcell, Oklahoma",Film director,1,https://en.wikipedia.org/wiki/Wallace_Fox
Bryan Foy,,1923–1963,1896-12-08,"Chicago, Illinois, United States","Film producer, film director",1,https://en.wikipedia.org/wiki/Bryan_Foy
Jonathan Frakes,,1978–present,1952-08-19,"Bellefonte, Pennsylvania, U.S.","Actor, director",0,https://en.wikipedia.org/wiki/Jonathan_Frakes
Coleman Francis,,1948–1973,1919-01-24,"Greer County, Oklahoma, U.S.",,1,https://en.wikipedia.org/wiki/Coleman_Francis
Jesús Franco,,1959–2013,1930-05-12,"Málaga, Spain","Director, screenwriter, cinematographer, musician, actor",1,https://en.wikipedia.org/wiki/Jes%C3%BAs_Franco
Georges Franju,,1949–1978,"Born12 April 1912Fougères, France","Fougères, France","director, screenwriter",1,https://en.wikipedia.org/wiki/Georges_Franju
Melvin Frank,EducationB.A. University of Chicago,,1913-08-13,"Chicago, Illinois","Screenwriter, film director, film producer",1,https://en.wikipedia.org/wiki/Melvin_Frank
John Frankenheimer,,1948–2002,1930-02-19,"Queens, New York City, U.S.",Film director,1,https://en.wikipedia.org/wiki/John_Frankenheimer
Sidney Franklin,,,1893-03-21,"San Francisco, California, US",,1,https://en.wikipedia.org/wiki/Sidney_Franklin_(director)
Harry L. Fraser,,1916–1951,"Born31 March 1889San Francisco, California, U.S.","San Francisco, California, U.S.",Film director,1,https://en.wikipedia.org/wiki/Harry_L._Fraser
James Frawley,,1960-2019,1936-09-29,"Houston, Texas, U.S.","Film director, actor",1,https://en.wikipedia.org/wiki/James_Frawley
Stephen Frears,"EducationGresham's School, Norfolk",1968–present,1941-06-20,"Leicester, Leicestershire, England","Film director, television director",0,https://en.wikipedia.org/wiki/Stephen_Frears
Sydney Freeland,"EducationAcademy of Art University, San Francisco",,1980-10-29,"Gallup, New Mexico, U.S.",DirectorScreenwriter,0,https://en.wikipedia.org/wiki/Sydney_Freeland
Thornton Freeland,,1924–1949,"BornFebruary 10, 1898Hope, North Dakota, U.S.","Hope, North Dakota, U.S.",Director,1,https://en.wikipedia.org/wiki/Thornton_Freeland
Morgan Freeman,,1964–present,1937-06-01,"Memphis, Tennessee, U.S.","Actor, film narrator",0,https://en.wikipedia.org/wiki/Morgan_Freeman
Mark Freiburger,,,1983-07-16,"Roanoke, Virginia, United States",Film Director & Screenwriter,0,https://en.wikipedia.org/wiki/Mark_Freiburger
Lloyd French,,,"BornJanuary 11, 1900San Francisco, California, U.S","San Francisco, California, U.S",,1,https://en.wikipedia.org/wiki/Lloyd_French
Fridrik Thor Fridriksson,,,1954-05-12,"Reykjavík, Iceland","Film director, screenwriter, producer and actor.",0,https://en.wikipedia.org/wiki/Fridrik_Thor_Fridriksson
Jason Friedberg,,1996-2015,1971-10-13,,"Directors, screenwriters",0,https://en.wikipedia.org/wiki/Jason_Friedberg
William Friedkin,EducationSenn High School,1962–present,1935-08-29,"Chicago, Illinois, U.S.",Directorproducerscreenwriter,0,https://en.wikipedia.org/wiki/William_Friedkin
Seymour Friedman,,,"BornAugust 17, 1917Detroit, Michigan United States","Detroit, Michigan United States",Director,1,https://en.wikipedia.org/wiki/Seymour_Friedman
Su Friedrich,,1978–present,1954-12-12,"New Haven, Connecticut",,0,https://en.wikipedia.org/wiki/Su_Friedrich
Soleil Moon Frye,EducationSan Fernando Valley Professional School,1982–present,1976-08-06,"Glendora, California, U.S.","Actress, film director, screenwriter",0,https://en.wikipedia.org/wiki/Soleil_Moon_Frye
Kinji Fukasaku,,1961–2003,1930-07-03,"Mito, Ibaraki, Japan",Film directorScreenwriter,1,https://en.wikipedia.org/wiki/Kinji_Fukasaku
Lucio Fulci,,1950-1991,1927-06-17,"Rome, Italy","Film director, screenwriter, actor",1,https://en.wikipedia.org/wiki/Lucio_Fulci
Sam Fuller,,1936–94,1912-08-12,"Worcester, Massachusetts, U.S.","Director, screenwriter, novelist",1,https://en.wikipedia.org/wiki/Sam_Fuller
Antoine Fuqua,,1992–present,1966-01-19,"Pittsburgh, Pennsylvania, U.S.",Film directorfilm producer,0,https://en.wikipedia.org/wiki/Antoine_Fuqua
Sidney J. Furie,,1959–present,1933-02-28,"Toronto, Ontario, Canada","Film director, screenwriter, film producer",0,https://en.wikipedia.org/wiki/Sidney_J._Furie
Béla Gaál,,1920 - 1939,1893-01-02,"Dombrád, Austria-Hungary",Screenwriter Film director,1,https://en.wikipedia.org/wiki/B%C3%A9la_Ga%C3%A1l
Leonid Gaidai,,,1923-01-30,"Svobodny, Russian SFSR, Soviet Union",,1,https://en.wikipedia.org/wiki/Leonid_Gaidai
Florian Gallenberger,,1990—present,1972-02-23,"Munich, West Germany","Director, Writer",0,https://en.wikipedia.org/wiki/Florian_Gallenberger
Harry Gamboa Jr.,,,Born1951Los Angeles,Los Angeles,,0,https://en.wikipedia.org/wiki/Harry_Gamboa_Jr.
Abel Gance,,,1889-10-25,"Paris, France",,1,https://en.wikipedia.org/wiki/Abel_Gance
Christophe Gans,,,1960-03-11,"Antibes, France","Film director, producer; screenwriter",0,https://en.wikipedia.org/wiki/Christophe_Gans
Dennis Gansel,,1995–present,1973-10-04,"Hannover, Germany",,0,https://en.wikipedia.org/wiki/Dennis_Gansel
Carla Garapedian,,,1961-02-27,"Los Angeles, California, U.S",filmmaker and former anchor for BBC World News,0,https://en.wikipedia.org/wiki/Carla_Garapedian
Tay Garnett,,1920–1975,1894-06-13,"Los Angeles, U.S.","Film director, writer",1,https://en.wikipedia.org/wiki/Tay_Garnett
Philippe Garrel,,1964–present,1948-04-06,"Boulogne-Billancourt, France","Director, screenwriter, film editor, producer, cinematographer",0,https://en.wikipedia.org/wiki/Philippe_Garrel
Matteo Garrone,,,1968-10-15,"Rome, Italy",Film director and producer,0,https://en.wikipedia.org/wiki/Matteo_Garrone
Harry Garson,,1920–1934,"Born1882Rochester, New York, U.S.","Rochester, New York, U.S.",Film director,1,https://en.wikipedia.org/wiki/Harry_Garson
William Garwood,,1909–1919,1884-04-28,"Springfield, Missouri, U.S.","Actor, director",1,https://en.wikipedia.org/wiki/William_Garwood
Louis J. Gasnier,,1899–1958,1875-09-15,"Paris, France",Film director,1,https://en.wikipedia.org/wiki/Louis_J._Gasnier
Tony Gatlif,,,1948-09-10,"Algiers, French Algeria","Film director, producer, screenwriter and actor",0,https://en.wikipedia.org/wiki/Tony_Gatlif
Nils Gaup,,1987–present,1955-04-12,"Kautokeino, Finnmark, Norway",Film directorscreenwriter,0,https://en.wikipedia.org/wiki/Nils_Gaup
Roberto Gavaldón,,1941 - 1979,1909-06-07,"Jiménez, Chihuahua",Film director,1,https://en.wikipedia.org/wiki/Roberto_Gavald%C3%B3n
Barrie Gavin,,,1935-06-10,"London, UK",Film director,0,https://en.wikipedia.org/wiki/Barrie_Gavin
Jean Genet,,,1910-12-19,,"Novelist, dramatist, political activist, poet, philosopher",1,https://en.wikipedia.org/wiki/Jean_Genet
Aleksei Alekseivich German,,,1976-09-04,Moscow,film director,0,https://en.wikipedia.org/wiki/Aleksei_Alekseivich_German
Pietro Germi,,1939–1974,1914-09-14,"Genoa, Italy","Screenwriter, director, actor",1,https://en.wikipedia.org/wiki/Pietro_Germi
Clyde Geronimi,,,1901-06-12,"Chiavenna, Italy",Animation director,1,https://en.wikipedia.org/wiki/Clyde_Geronimi
Kurt Gerron,,1920–1944,1897-05-11,"Berlin, German Empire","Actor, film director",1,https://en.wikipedia.org/wiki/Kurt_Gerron
Douchan Gersi,,1964–2004,"BornDušan GersiMarch 4, 1947Bratislava, Slovakia","Bratislava, Slovakia",,1,https://en.wikipedia.org/wiki/Douchan_Gersi
Subhash Ghai,,1970–present,1945-01-24,"Nagpur, Central Provinces and Berar, British India[1]","Film director, producer, actor, screenwriter, music director",0,https://en.wikipedia.org/wiki/Subhash_Ghai
Ritwik Ghatak,,,1925-11-04,,Filmmaker and writer,1,https://en.wikipedia.org/wiki/Ritwik_Ghatak
Bahman Ghobadi,EducationIran Broadcasting University,,1969-02-01,"Baneh, Iran","director, producer, writer",0,https://en.wikipedia.org/wiki/Bahman_Ghobadi
Charles Giblyn,,1912-1934,1871-09-06,"Watertown, New York, U.S.","Actor, director, producer",1,https://en.wikipedia.org/wiki/Charles_Giblyn
Mel Gibson,,1976–present,1956-01-03,"Peekskill, New York, U.S.",".mw-parser-output ul.cslist,.mw-parser-output ul.sslist{margin:0;padding:0;display:inline-block;list-style:none}.mw-parser-output .cslist li,.mw-parser-output .sslist li{margin:0;padding:0 0.25em 0 0;display:inline-block}.mw-parser-output .cslist li:after{content:"", ""}.mw-parser-output .sslist li:after{content:""; ""}.mw-parser-output .cslist li:last-child:after,.mw-parser-output .sslist li:last-child:after{content:none}Actorfilmmaker",0,https://en.wikipedia.org/wiki/Mel_Gibson
John Gilbert,EducationHitchcock Military Academy,1915–1934,1897-07-10,"Logan, Utah, U.S.","Actor, director, writer",1,https://en.wikipedia.org/wiki/John_Gilbert_(actor)
Lewis Gilbert,,1925–2002,1920-03-06,"Hackney, London, England","Film director, producer and screenwriter",1,https://en.wikipedia.org/wiki/Lewis_Gilbert
Stuart Gillard,,1971–present,1950-04-28,"Coronation, Alberta, Canada","Actor, film director, television director, television producer",0,https://en.wikipedia.org/wiki/Stuart_Gillard
Terry Gilliam,,1968–present,1940-11-22,"Minneapolis, Minnesota, U.S.",Actoranimatorcomediandirectorproducerscreenwriter,0,https://en.wikipedia.org/wiki/Terry_Gilliam
Vince Gilligan,,1992–present,1967-02-10,"Richmond, Virginia, U.S.","Writer, producer, director",0,https://en.wikipedia.org/wiki/Vince_Gilligan
John Gilling,,1935–1975,1912-05-29,"London, England","Film director, screenwriter",1,https://en.wikipedia.org/wiki/John_Gilling
Arvid E. Gillstrom,,1915 - 1934,1889-08-13,"Gothenburg, Sweden",Film director,1,https://en.wikipedia.org/wiki/Arvid_E._Gillstrom
Marino Girolami,,,"BornMarino Girolami1 February 1914Rome, Italy","Rome, Italy",Film director,1,https://en.wikipedia.org/wiki/Marino_Girolami
Pavel Giroud,,,Born1973Cuba,Cuba,Film director,0,https://en.wikipedia.org/wiki/Pavel_Giroud
Amos Gitai,,1973–present,1950-10-11,"Haifa, Israel",Filmmaker author,0,https://en.wikipedia.org/wiki/Amos_Gitai
Jonathan Glazer,,,1965-03-26,"London, England",Filmmaker,0,https://en.wikipedia.org/wiki/Jonathan_Glazer
Peter Glenville,,,1913-10-28,"Hampstead, London, England, UK","Actor, stage director",1,https://en.wikipedia.org/wiki/Peter_Glenville
James Glickenhaus,,1975–present,1950-07-24,"New York City, New York, United States",Film directorFilm producerScreenwriter,0,https://en.wikipedia.org/wiki/James_Glickenhaus
Jean-Luc Godard,,1950–present,1930-12-03,"Paris, France",Film critic filmmaker actor,0,https://en.wikipedia.org/wiki/Jean-Luc_Godard
Theo van Gogh,,1980–2004,1957-07-23,"The Hague, Netherlands","Film director, film producer, television director, television producer, television presenter, screenwriter, actor, critic, interviewer, author, columnist, blogger, activist",1,https://en.wikipedia.org/wiki/Theo_van_Gogh_(film_director)
Menahem Golan,,,1929-05-31,"Tiberias, British Mandate of Palestine (now Israel)","Director, producer",1,https://en.wikipedia.org/wiki/Menahem_Golan
Bobcat Goldthwait,,1980–present,1962-05-26,,,0,https://en.wikipedia.org/wiki/Bobcat_Goldthwait
Michel Gondry,,1986–present,1963-05-08,"Versailles, France",Director screenwriter producer,0,https://en.wikipedia.org/wiki/Michel_Gondry
Alejandro González Iñárritu,,1984–present,1963-08-15,"Mexico City, Mexico",Film directorfilm producerscreenwriter,0,https://en.wikipedia.org/wiki/Alejandro_Gonz%C3%A1lez_I%C3%B1%C3%A1rritu
Leslie Goodwins,,1926–1967,1899-09-17,"London, England","Film director, screenwriter",1,https://en.wikipedia.org/wiki/Leslie_Goodwins
Adoor Gopalakrishnan,,1965 – present,1941-07-03,"Mannadi, Travancore, British India","Film director, screenwriter, producer",0,https://en.wikipedia.org/wiki/Adoor_Gopalakrishnan
Michael Gordon,,,1909-09-06,"Baltimore, Maryland, U.S.",,1,https://en.wikipedia.org/wiki/Michael_Gordon_(film_director)
Stuart Gordon,,,1947-08-11,"Chicago, Illinois, U.S.","Film director, theater director, screenwriter, playwright, film producer",1,https://en.wikipedia.org/wiki/Stuart_Gordon
Hideo Gosha,,,1929-02-26,"Tokyo, Japan","Film director, screenwriter",1,https://en.wikipedia.org/wiki/Hideo_Gosha
Ryan Gosling,,1993–present,1980-11-12,"London, Ontario, Canada",Actor musician,0,https://en.wikipedia.org/wiki/Ryan_Gosling
Peter Gould,EducationBA (1982); MFA (1990),,BornNew York,,Television Writer; producer,0,https://en.wikipedia.org/wiki/Peter_Gould_(writer)
Alfred Goulding,,1917-1959,1885-01-26,"Melbourne, Australia",Film directorScreenwriter,1,https://en.wikipedia.org/wiki/Alfred_Goulding
